ID,course ,description
1,EECE 310,"EECE 310 - Electronics A course on semiconductors; PN junctions; diodes and diode circuits; MOS transistor and
applications such as amplifier and switch; bipolar junction transistor and applications
such as amplifier and switch; and circuit simulation using SPICE"
2,EECE 311,"EECE 311 - Electronic Circuits A course on BJT amplifiers; MOSFET amplifiers; differential amplifiers; frequency
response of amplifiers; feedback; operational amplifiers; oscillators; digital CMOS
circuits; SPICE simulations."
3,EECE 312,"EECE 312 - Electronics (for Mechanical Engineering students) This course introduces fundamentals of electronics and electronic circuits to nonmajors.
Its objectives are to provide concise treatment of the basic concepts of
electronic components and to introduce students to basic analog and digital electronic
circuits. The course covers the fundamentals of semiconductor diodes, transistors,
operational amplifiers and their applications, digital circuits and systems, and basic
instrumentation."
4,EECE 320,"EECE 320 - Digital Systems Design This course introduces basic principles and practices of combinational and sequential
design of digital systems: binary codes, Boolean algebra, combinational circuits design,
combinational and sequential building blocks, and design of finite state machines.
EECE 320-The course introduces hardware description language (VHDL); students design and
implement two projects using VHDL, one for a combinational circuit and another for a
sequential circuit."
5,EECE 321,"EECE 321 - Computer Organization This course covers single-core microprocessor computer organization and basic input/
output mechanisms. Students learn how to program microprocessors at the assembly
level and how to design the main core components of a von Neumann computer system,
including its instruction set architecture, datapath, control unit, cache and system
buses. To consolidate the material, students work on a VHDL design project of a singlecycle
MIPS microprocessor core."
6,EECE 330,"EECE 330 - Data Structures and Algorithms This is an introductory course in data structures and algorithms with an emphasis
on programming. The course uses the C++ programming language. Topics include:
elements of C++, memory management, C++ classes and templates, linked-lists, sacks,
queues, standard template library, binary trees, binary search trees, balanced trees,
heaps, priority queues, hashing, graph traversals, introduction to graph algorithms."
7,EECE 331,"EECE 331 -  Design and Analysis of Algorithms 
This course covers techniques for the design and analysis of efficient algorithms. Topics
include: divide and conquer, dynamic programing, and greedy design strategies; sorting
algorithms including merge sort, randomized quicksort, counting sort, and radix sort;
median and order statistics algorithms; sorting lower bound; matrix multiplication and
elementary arithmetic algorithms; balanced search trees; augmenting data structures;
EECE 331-hash tables; data structures for disjoint sets; amortized analysis; graph traversal
algorithms and applications, minimum spanning tree algorithms, shortest path
algorithms; maximum flow; introduction to NP completeness."
8,EECE 332,"EECE 332 - Object-Oriented and Effective Java Programming This course covers object-oriented programming in addition to other essential and
effective programming concepts using Java. Topics include: basic UML, data abstraction
and encapsulation, inheritance, polymorphism, generics, exception handling, GUI
programming, data persistence, database connectivity with JDBC, multi-threading
and basic mobile app development. Other topics might include internationalization,
web programming, and visualization. This course has a substantial lab component."
9,EECE 334,"EECE 334 - Programming Language Design and Implementation This course examines the design and implementation of widely adopted programming
languages. Topics include data types; bindings; run-time management; objectorientation;
syntax analysis; semantic analysis; and the implementation of compilers
and interpreters. Functional and logic programming principles are also covered."
10,EECE 338,"EECE 338 - Theory of Computation This course covers of the basics of automata and language theory, computation theory,
and complexity theory. The first part of the course is about automata and regular
languages, context free grammars, Church’s thesis, decidability, and reducibility.
Topics in the second part of the course include: time complexity and NP-completeness,
space complexity, polynomial-space and log-space computations, circuit complexity,
probabilistic computations and complexity classes, approximation algorithms, and
selected topics as time permits."
11,EECE 340,"EECE 340 - Signals and Systems This course covers basic concepts and methods related to continuous and discrete-time
signals and systems. The course includes: signals and systems and their properties,
linear time-invariant systems, stability analysis, sampling of continuous-time signals,
z-transform, discrete Fourier transform, time and frequency domain representations
of discrete-time signals and systems, and introductory concepts in communications."
12,EECE 350,"EECE 350 - Computer Networks A course that outlines data communications; wide area networks; circuit and packet
switching; routing; congestion control; local area networks; communications
architecture and protocols; internetworking."
13,EECE 351,"EECE 351 - Computer Networks A course that outlines data networks and cloud services, application layer protocols,
web services and related protocols, cloud computing and service models, socket
programming, TCP service protocols, internetworking and software-defined networking."
14,EECE 370,"EECE 370  - Electric Machines and Power Fundamentals The course covers three-phase circuits, magnetic circuits, transformers: ideal and real,
construction, operation, autotransformers and three-phase transformers; fundamentals
of AC machines: construction and basic concepts; synchronous generators:
construction, equivalent circuits, testing and performance characteristics; induction
motors construction, principle of operation, tests, power and torque expressions."
